no,raw_tweet,clean_tweets,sentiment_label,,,Kolum,Deskripsi,
374,"Gw bisa nahan diri kl ada debat soal agama, politik, ato masalah ras. Yang gw gak tahan kalo udah ada cewek jahat ke sesama cewek, menyepelekan musibah pelecehan seksual yang menimpa korban...Itu sumpah jahat banget. Blocked them from TL seems not enough.","['saya bisa tahan diri kalau ada debat soal agama, politik, atau masalah ras. yang saya tidak bisa tahan kalo sudah ada cewek jahat ke sesama cewek, menyepelekan musibah pelecehan seksual yang menimpa korban. itu sumpah jahat sangat. memblokir mereka dari tl rasanya tidak cukup.', 'saya bisa tahan diri kalau ada debat soal agama, politik, atau masalah ras. yang saya tidak bisa tahan kalo sudah ada cewek jahat ke sesama cewek, menyepelekan musibah pelecehan seksual yang menimpa korban. itu sumpah jahat sangat. memblokir mereka dari tl rasanya tidak cukup.']",isi ini,,,,,
375,"@icechopath mainstream. aku anti mainstream...dan berisik sensasionalis gt. gasuka. sukanya yg tenang dan mendidik, kayak hmm Wendover Production, Jeremy Ethier, What I've Learned, dll. ..Beda selera aja sih basically","['@icechopath mainstream. aku anti mainstream. dan berisik sensasionalisme gitu. tidak suka. sukanya yang tenang dan mendidik, seperti hmm wendover production, jeremy ethier, apa yang telah saya pelajari, dll. beda selera saja sih pada dasarnya', '@icechopath mainstream. aku anti mainstream. dan berisik sensasionalisme gitu. tidak suka. sukanya yang tenang dan mendidik, seperti hmm wendover production, jeremy ethier, apa yang telah saya pelajari, dll. beda selera saja sih pada dasarnya']",isi ini,,,,,
376,"Well done, good job erina, we are one, saranghaja! Haduh nangis akutu erina selalu urutan nomer 1 masalah vote exo","['bagus, good job erina, kita adalah satu, saranghaja! aduh menangis akutu erina selalu urutan nomor 1 masalah memilih exo', 'bagus, good job erina, kita adalah satu, saranghaja! aduh menangis akutu erina selalu urutan nomor 1 masalah memilih exo']",isi ini,,,,,
377,"Sesaat sebelum turun dari mobil pas parkir di depan kafe semalam:..Kita bawa laptop ga nih?..Haha.. bawa lah ya? (Dah siap siap balik badan mo ngeluarin laptop)..Gausa lah, katanya mau kayak couple normal...Lalu masuk, duduk manis, pesen latte. Well done guys","['sesaat sebelum turun dari mobil pas parkir di depan kafe semalam:. kita bawa laptop tidak nih? haha. bawa lah ya? (sudah siap-siap balik badan mau ngeluarin laptop). tidak usah lah, katanya mau seperti pasangan normal. lalu masuk, duduk manis, pesan latte. bagus teman-teman', 'sesaat sebelum turun dari mobil pas parkir di depan kafe semalam:. kita bawa laptop tidak nih? haha. bawa lah ya? (sudah siap-siap balik badan mau ngeluarin laptop). tidak usah lah, katanya mau seperti pasangan normal. lalu masuk, duduk manis, pesan latte. bagus teman-teman']",isi ini,,,,,
378,@RoyKimochi @syafiramadhi @dancowbubukk Well defined. Antara iman kuat banget sampe gak bisa kena gangguan mental dan gila beda tipis memang...Karena ada norma yang berlaku di sosial. Who the judge? The people.,"['@RoyKimochi @syafiramadhi @dancowbubukk terdefinisi dengan baik. antara iman kuat sangat sampai tidak bisa kena gangguan mental dan gila beda tipis memang. karena ada norma yang berlaku di sosial. siapa hakimnya? orang-orang.', '@RoyKimochi @syafiramadhi @dancowbubukk terdefinisi dengan baik. antara iman kuat sangat sampai tidak bisa kena gangguan mental dan gila beda tipis memang. karena ada norma yang berlaku di sosial. siapa hakimnya? orang-orang.']",isi ini,,,,,
379,"@kearaeist Itu dia abis melakukan nazar, kalo dia jadi member of the month dia bakal ngeplot itu dan ts jadi atta halilintar 2 hari :D","['@kearaeist itu dia habis melakukan nazar, kalo dia jadi anggota bulan ini dia bakal merencanakan itu dan ts jadi atta halilintar 2 hari :D', '@kearaeist itu dia habis melakukan nazar, kalo dia jadi anggota bulan ini dia bakal merencanakan itu dan ts jadi atta halilintar 2 hari :D']",isi ini,,,,,
380,"@BadmintonTalk 19 tahun, 2x runner up di kelas S300, not bad laaah. Masih perlu banyak improvement, pasti bisaa minimal 1 gelar tahun ini .Thank you Rinov/Pitha","['@BadmintonTalk 19 tahun, 2x pemenang kedua di kelas s300, tidak buruk lah. masih perlu banyak perbaikan, pasti bisa minimal 1 gelar tahun ini. terima kasih Rinov / Pitha', '@BadmintonTalk 19 tahun, 2x pemenang kedua di kelas s300, tidak buruk lah. masih perlu banyak perbaikan, pasti bisa minimal 1 gelar tahun ini. terima kasih Rinov / Pitha']",isi ini,,,,,
381,endingnya kirain si taeyong eh ternyata uri fullsun .omggggg fullsun is back huhuuuuu im not readyyyy..#NCT127_WakeyWakey https://t.co/E5TB5ftRET,"['akhirnya kirain si taeyong eh ternyata uri fullsun. omgg fullsun kembali huhuu saya tidak siap. #NCT127_WakeyWakey https://t.co/E5TB5ftRET', 'akhirnya kirain si taeyong eh ternyata uri fullsun. omgg fullsun kembali huhuu saya tidak siap. #NCT127_WakeyWakey https://t.co/E5TB5ftRET']",isi ini,,,,,
382,"Bukan apa lh, but please enlighten me with this block and unblocking routine we been having all this while ? Im confused","['bukan apa lh, tolong beri tahu saya tentang rutinitas blokir dan buka blokir ini kami semua telah mengalam ini ? saya bingung', 'bukan apa lh, tolong beri tahu saya tentang rutinitas blokir dan buka blokir ini kami semua telah mengalam ini ? saya bingung']",isi ini,,,,,
383,Kebab dibalik Babek (mirip bebek)..Bebek bahasa turki dari bayi...Coincidence? I think not. https://t.co/weteDWBgtp,"['kebab dibalik babek (mirip bebek). bebek bahasa turki dari bayi. kebetulan? saya pikir tidak. https://t.co/weteDWBgtp', 'kebab dibalik babek (mirip bebek). bebek bahasa turki dari bayi. kebetulan? saya pikir tidak. https://t.co/weteDWBgtp']",isi ini,,,,,
384,"@clemefrain / Uh... Bakal susah? Gue cuma kepikiran c-section kalau pun laki-laki nantinya bisa melahirkan. There's not enough space between the scrotum and the anus, kalau di belakang anus udah ketemu pantat. MAN IDK. Anatomy makes my head hurts. :(","['@clemefrain / uh. bakal susah? saya cuma kepikiran bagian-c kalau pun laki-laki nantinya bisa melahirkan. tidak ada ruang yang cukup antara skrotum dan anus, kalau di belakang anus sudah ketemu pantat. saya tidak tahu. anatomi membuat kepala saya sakit. :(', '@clemefrain / uh. bakal susah? saya cuma kepikiran bagian-c kalau pun laki-laki nantinya bisa melahirkan. tidak ada ruang yang cukup antara skrotum dan anus, kalau di belakang anus sudah ketemu pantat. saya tidak tahu. anatomi membuat kepala saya sakit. :(']",isi ini,,,,,
385,"Gila ini gemes bgt, jd kan krn gue gabut bgt, gue akhirnya kembali ke hobi jaman sd gue yaitu menulis, terus gue akhirnya memberanikan diri utk post di sosmed nih ceritanya, eh ada yg comment tbtb ""idek your language but i'm so going to read it, i'll put it in google translate"" -","['gila ini gemas sangat, jadi kan karena saya gabut sangat, saya akhirnya kembali ke hobi jaman sd saya yaitu menulis, terus saya akhirnya memberanikan diri untuk membagikan di sosmed nih ceritanya, eh ada yang komentar tiba-tiba ""idek bahasa kamu tapi saya akan membacanya, akan saya taruh di google translate"" -', 'gila ini gemas sangat, jadi kan karena saya gabut sangat, saya akhirnya kembali ke hobi jaman sd saya yaitu menulis, terus saya akhirnya memberanikan diri untuk membagikan di sosmed nih ceritanya, eh ada yang komentar tiba-tiba ""idek bahasa kamu tapi saya akan membacanya, akan saya taruh di google translate"" -']",isi ini,,,,,
386,"@gojekindonesia pesen gosend, driver sudah ambil barang dari pengirim tp tibatiba di app driver not found n driver tidak bisa d hubungi barang yg sudah d ambil pun tidak sampai ke penerima. Gimana ini? Barang seharga 1.2 juta !! https://t.co/oK4J2JTZpk","['@gojekindonesia pesan gosend, sopir sudah ambil barang dari pengirim tapi tiba-tiba di aplikasi sopir tidak ditemukan dan sopir tidak bisa dihubungi barang yang sudah diambil pun tidak sampai ke penerima. gimana ini? barang seharga 1.2 juta! https://t.co/oK4J2JTZpk', '@gojekindonesia pesan gosend, sopir sudah ambil barang dari pengirim tapi tiba-tiba di aplikasi sopir tidak ditemukan dan sopir tidak bisa dihubungi barang yang sudah diambil pun tidak sampai ke penerima. gimana ini? barang seharga 1.2 juta! https://t.co/oK4J2JTZpk']",isi ini,,,,,
387,Nyobain psd ke muka gue. Hm not bad! https://t.co/yC46wK4GYX,"['coba psd ke muka saya. hm tidak buruk! https://t.co/yC46wK4GYX', 'coba psd ke muka saya. hm tidak buruk! https://t.co/yC46wK4GYX']",isi ini,,,,,
388,@gittung Ku sangat2 sering nggit seperti ini wkwk. Not once tp bnr2 so frequent. It just happens :,"['@gittung aku sangat-sangat sering nggit seperti ini wkwk. tidak sekali tp benar-benar sangat sering. itu terjadi begitu saja :', '@gittung aku sangat-sangat sering nggit seperti ini wkwk. tidak sekali tp benar-benar sangat sering. itu terjadi begitu saja :']",isi ini,,,,,
389,"mikir sehari sebelumnya mau makan apaan di FJB, akhirnya milih tahu telor yg well known di surabaya. walaupun antre kurleb 1 jam dan jadinya gabisa beli yg lain tapi gapapa gue bangga bisa fokus ke tujuan awal. makasih kecapnya! https://t.co/Iq9W1drARB","['pikir sehari sebelumnya mau makan apaan di fjb, akhirnya memilih tahu telor yang well known di surabaya. walaupun antri kurang lebih 1 jam dan jadinya tidak bisa beli yang lain tapi tidak apa-apa saya bangga bisa fokus ke tujuan awal. terima kasih kecapnya! https://t.co/Iq9W1drARB', 'pikir sehari sebelumnya mau makan apaan di fjb, akhirnya memilih tahu telor yang well known di surabaya. walaupun antri kurang lebih 1 jam dan jadinya tidak bisa beli yang lain tapi tidak apa-apa saya bangga bisa fokus ke tujuan awal. terima kasih kecapnya! https://t.co/Iq9W1drARB']",isi ini,,,,,
390,"Well sebenernya masih banyak loh orang2 disekitar kita yg... gimana ya ngomongnya... masih ""gaptek"" lah ya, ga ngerti fungsi smartphone buat apa selain buat wassap sm main fb gitu, yg ga pake mikirin lagi apalagi sampe searching sebab akibat dr perbuatan dia apa gitu loh...","['baik sebenernya masih banyak loh orang-orang disekitar kita yang. gimana ya ngomongnya. masih ""gagap teknologi"" lah ya, tidak ngerti fungsi smartphone buat apa selain buat wassap sama main fb gitu, yang tidak pakai memikirkan lagi apalagi sampai mencari sebab akibat dari perbuatan dia apa gitu loh.', 'baik sebenernya masih banyak loh orang-orang disekitar kita yang. gimana ya ngomongnya. masih ""gagap teknologi"" lah ya, tidak ngerti fungsi smartphone buat apa selain buat wassap sama main fb gitu, yang tidak pakai memikirkan lagi apalagi sampai mencari sebab akibat dari perbuatan dia apa gitu loh.']",isi ini,,,,,
391,lagi lagi ngerasain apa yang dirasain berbulan bulan lalu. its okay not to be okay.,"['lagi-lagi merasakan apa yang dirasakan berbulan-bulan lalu. tidak apa-apa untuk tidak baik-baik saja.', 'lagi-lagi merasakan apa yang dirasakan berbulan-bulan lalu. tidak apa-apa untuk tidak baik-baik saja.']",isi ini,,,,,
392,Bodyguard series is not bad. Jalan ceritanya gak ketebak. Masih penasaran siapa yang baik siapa yang jahadd.,"['bodyguard series tidak buruk. jalan ceritanya tidak ketebak. masih penasaran siapa yang baik siapa yang jahat.', 'bodyguard series tidak buruk. jalan ceritanya tidak ketebak. masih penasaran siapa yang baik siapa yang jahat.']",isi ini,,,,,
393,"@sicfallacy Kan. Acknowledge ni real issue. Mmg ramai ikat perut, takda bilik proper. Kawan I dulu UM after ptptn left rm600 for 6 months. So basically parent bagi belanja. He's lucky. But yang takde source? Janganlah nak hentam rata iPhone, tengok wayang bla bla. They're not, and exist.","['@sicfallacy kan. akui ni masalah nyata. memang ramai ikat perut, tidak ada bilik layak. kawan saya dulu um setelah ptptn pergi dari rm600 untuk 6 bulan. jadi pada dasarnya orang tua bagi belanja. dia beruntung. tapi yang tidak ada sumber? janganlah nak hantam rata iphone, tengok wayang bla-bla. mereka tidak, dan ada.', '@sicfallacy kan. akui ni masalah nyata. memang ramai ikat perut, tidak ada bilik layak. kawan saya dulu um setelah ptptn pergi dari rm600 untuk 6 bulan. jadi pada dasarnya orang tua bagi belanja. dia beruntung. tapi yang tidak ada sumber? janganlah nak hantam rata iphone, tengok wayang bla-bla. mereka tidak, dan ada.']",isi ini,,,,,
394,@SNAEUNtv Mau bilang itu bunga tapi yang lain udah pada protes. I'll give you a bunch of love as well. Good morning https://t.co/sq9u86eeKS,"['@SNAEUNtv mau bilang itu bunga tapi yang lain sudah pada protes. saya akan memberimu banyak cinta juga. selamat pagi https://t.co/sq9u86eeKS', '@SNAEUNtv mau bilang itu bunga tapi yang lain sudah pada protes. saya akan memberimu banyak cinta juga. selamat pagi https://t.co/sq9u86eeKS']",isi ini,,,,,
395,"@syafirannisa i mean, ada yg merasa baik-baik aja dgn responsibility-nya, tp kadang aku sendiri merasa kalau bebannya way outweigh the privilege. ntahlah, guess i'm still immature in some way.....menyebalkan nggak sih, ditolak dgn tanpa kejelasan. like being told not to use our rational mind.","['@syafirannisa maksud saya, ada yang merasa baik-baik saja dengan tanggung jawabnya, tapi kadang aku sendiri merasa kalau bebannya jauh lebih berat dari pada haknya. entahlah, mungkin saya belum dewasa dalam beberapa hal. menyebalkan tidak sih, ditolak dengan tanpa kejelasan. seperti disuruh untuk tidak menggunakan pikiran rasional kita.', '@syafirannisa maksud saya, ada yang merasa baik-baik saja dengan tanggung jawabnya, tapi kadang aku sendiri merasa kalau bebannya jauh lebih berat dari pada haknya. entahlah, mungkin saya belum dewasa dalam beberapa hal. menyebalkan tidak sih, ditolak dengan tanpa kejelasan. seperti disuruh untuk tidak menggunakan pikiran rasional kita.']",isi ini,,,,,
396,@_haye_ @_argentalya Not at all. Hanya seorang pencinta kucing,"['@_haye_ @_argentalya tidak sama sekali. hanya seorang pencinta kucing', '@_haye_ @_argentalya tidak sama sekali. hanya seorang pencinta kucing']",isi ini,,,,,
397,@twinklestarr_ brrt ada something nih pas kalian msh pacaran,"['@twinklestarr_ berarti ada sesuatu nih pas kalian masih pacaran', '@twinklestarr_ berarti ada sesuatu nih pas kalian masih pacaran']",isi ini,,,,,
398,Amal Clooney tampil bak bangsawan menggunakan jumpsuit one shoulder https://t.co/9e6p1QlstD,"['amal clooney tampil bak bangsawan menggunakan jumpsuit one shoulder https://t.co/9e6p1QlstD', 'amal clooney tampil bak bangsawan menggunakan jumpsuit one shoulder https://t.co/9e6p1QlstD']",isi ini,,,,,
399,"@N_ShaniJKT48 udh mlm ci wkkwkw, lancar kegiatan hari ini nya and semangat buat theater an nya ya ci,  sorry aku lg sukip dlu smpe hs :(.Cici jgn kgnn ya *ehh","['@N_ShaniJKT48 sudah malam ci wkkwkw, lancar kegiatan hari ini nya dan semangat buat teater an nya ya ci,  maaf aku lagi bolos dulu sampai hs :( . cici jangan kangen ya * ehh', '@N_ShaniJKT48 sudah malam ci wkkwkw, lancar kegiatan hari ini nya dan semangat buat teater an nya ya ci,  maaf aku lagi bolos dulu sampai hs :( . cici jangan kangen ya * ehh']",isi ini,,,,,
400,@CGV_ID #Mardkodardnahihota screening pertamanya di tiff 2018 bulan september kemaren. Bayangkan 5 bulan nunggu nya. Jamuran ga tuh bolly lovers nunggu nya. We can't wait to watch. Pleassssseeeeeee,"['@CGV_ID #Mardkodardnahihota penyaringan pertamanya di tiff 2018 bulan september kemarin. bayangkan 5 bulan menunggu nya. jamuran tidak tuh penggemar bolly nunggu nya. kami tidak sabar untuk menonton. tolong', '@CGV_ID #Mardkodardnahihota penyaringan pertamanya di tiff 2018 bulan september kemarin. bayangkan 5 bulan menunggu nya. jamuran tidak tuh penggemar bolly nunggu nya. kami tidak sabar untuk menonton. tolong']",isi ini,,,,,
401,"Untuk budaya pun hampir sama, meskipun sudah proses untuk Indonesia-sentris beberapa tahun belakangan. But theres still ignorance everywhere, not only on the government, tapi juga dalam masyarakat luas.","['untuk budaya pun hampir sama, meskipun sudah proses untuk indonesiasentris beberapa tahun belakangan. tapi masih ada ketidak pedulian di mana-mana, tidak hanya di pemerintahan, tapi juga dalam masyarakat luas.', 'untuk budaya pun hampir sama, meskipun sudah proses untuk indonesiasentris beberapa tahun belakangan. tapi masih ada ketidak pedulian di mana-mana, tidak hanya di pemerintahan, tapi juga dalam masyarakat luas.']",isi ini,,,,,
402,"@nawarinauy @askmenfess Not really ehehe, mungkin km belom nemu sahabat yg sebenarnya","['@nawarinauy @askmenfess tidak juga ehehe, mungkin kamu belom menemukan sahabat yang sebenarnya', '@nawarinauy @askmenfess tidak juga ehehe, mungkin kamu belom menemukan sahabat yang sebenarnya']",isi ini,,,,,
403,Love refuses to be not the only one. Cinta menolak menjadi bukan yang satu-satunya.,"['cinta menolak menjadi bukan satu-satunya. cinta menolak menjadi bukan yang satu-satunya.', 'cinta menolak menjadi bukan satu-satunya. cinta menolak menjadi bukan yang satu-satunya.']",isi ini,,,,,
404,"list tempat yg mau didatengin atau kegiatan yg mau dilakuin sendirian udah di list. okey, why not? Hehhehe.","['daftar tempat yang mau didatengi atau kegiatan yang mau dilakukan sendirian sudah di daftar. oke, kenap tidak? hehhehe.', 'daftar tempat yang mau didatengi atau kegiatan yang mau dilakukan sendirian sudah di daftar. oke, kenapa tidak? hehhehe.']",isi ini,,,,,
405,@slapmejuseyo @neutrogenadc @yangbeneran it's like debut >> krn lucu >> kemudian jd meme. gt mksd nya. is not something bad kok...,"['@slapmejuseyo @neutrogenadc @yangbeneran itu seperti debut >> karena lucu >> kemudian jadi meme. begitu maksud nya. bukanlah sesuatu yang buruk kok.', '@slapmejuseyo @neutrogenadc @yangbeneran itu seperti debut >> karena lucu >> kemudian jadi meme. begitu maksud nya. bukanlah sesuatu yang buruk kok.']",isi ini,,,,,
406,"ketika Apps lain udah not supported di hape butut ini dan twitter masih bisa, terharu aku tuh..(balada hape ku yg 'canggih' itu rusak)","[""ketika aplikasi lain sudah tidak didukung hape butut ini dan twitter masih bisa, terharu aku tuh. (balada hape ku yang 'canggih' itu rusak)"", ""ketika aplikasi lain sudah tidak didukung hape butut ini dan twitter masih bisa, terharu aku tuh. (balada hape ku yang 'canggih' itu rusak)""]",isi ini,,,,,
407,Aku juga gitu nder saking nyerinya sampe muntah. But take a painkiller is not good for your health too. Coba olahraga deh. Yg ringan aja tp tiap hari. Aku sejak rutin workout udh ga nyeri lagi,"['aku juga gitu nder sangat nyeri sampai muntah. tetapi minum obat penghilang rasa sakit tidak baik untuk kesehatan kamu juga. coba olahraga deh. yang ringan saja tapi tiap hari. aku sejak rutin olahraga sudah tidak nyeri lagi', 'aku juga gitu pengirim sangat nyeri sampai muntah. tetapi minum obat penghilang rasa sakit tidak baik untuk kesehatan kamu juga. coba olahraga deh. yang ringan saja tapi tiap hari. aku sejak rutin olahraga sudah tidak nyeri lagi']",isi ini,,,,,
408,@bumpykitten_ @depiop Not that yowes karepmu mas wkwkwk,"['@bumpykitten_ @depiop bukan itu yowes karepmu mas wkwkwk', '@bumpykitten_ @depiop bukan itu yowes karepmu mas wkwkwk']",isi ini,,,,,
409,@ilyxmn FOLO BACK CPT,"['@ilyxmn ikuti kembali cepat', '@ilyxmn ikuti kembali cepat']",isi ini,,,,,
410,When u se-gak percaya itu sm org lainn .#TwitterBestFandom.#TeamEXO.#SoompiAwards.@weareoneEXO https://t.co/zb0agyt20d,"['ketika kamu setidak percaya itu sama orang lain .#TwitterBestFandom. #TeamEXO. #SoompiAwards. @weareoneEXO https://t.co/zb0agyt20d', 'ketika kamu setidak percaya itu sama orang lain .#TwitterBestFandom. #TeamEXO. #SoompiAwards. @weareoneEXO https://t.co/zb0agyt20d']",isi ini,,,,,
411,"Kan itu sampah warga lokal, kalau uda enak buang sampah tinggal kesana ya ofc mereka gabakal nanggep...Indonesians and their comfort zone. https://t.co/tSmi2X5AMT","['kan itu sampah warga lokal, kalau sudah enak buang sampah tinggal kesana ya tentu mereka tidak bakal tanggap. orang indonesia dan zona nyaman mereka. https://t.co/tSmi2X5AMT', 'kan itu sampah warga lokal, kalau sudah enak buang sampah tinggal kesana ya tentu mereka tidak bakal tanggap. orang indonesia dan zona nyaman mereka. https://t.co/tSmi2X5AMT']",isi ini,,,,,
412,"Om situ kalo jalan ngajak2 makanya... ntar tak bantu nawar dah, nek ngagem boso jawi kadosipun saged langkung murah... ..Try to say: ""awis sanget bu... biasa mboten semonten kok, kirangi bu kirangi... reginipun... ""","['om situ kalo jalan ajak-ajak makanya. nanti tak bantu tawar dah, nek ngagem boso jawi kadosipun saged langkung murah. mencoba mengatakan: ""awis sanget bu. biasa mboten semonten kok, kirangi bu kirangi. reginipun.""', 'om situ kalo jalan ajak-ajak makanya. nanti tak bantu tawar dah, nek ngagem boso jawi kadosipun saged langkung murah. mencoba mengatakan: ""awis sanget bu. biasa mboten semonten kok, kirangi bu kirangi. reginipun.""']",isi ini,,,,,
413,"Cerita singkat diperjalanan pada malam hari:...................................................Tadiny mu cerita, tp males soalnya ada mendung2 nya gitu suasana mood. Hmm. U know what i think.","['cerita singkat diperjalanan pada malam hari:. tadiny mau cerita, tapi malas soalnya ada mendung-mendungnya gitu suasana hati. hmm. kamu tahu apa yang saya pikirkan.', 'cerita singkat diperjalanan pada malam hari:. tadiny mau cerita, tapi malas soalnya ada mendung-mendungnya gitu suasana hati. hmm. kamu tahu apa yang saya pikirkan.']",isi ini,,,,,
414,"@gnuna_ @iyainajaaaa @shitlicious Well okay, benar-benar tepat sasaran jawabannya mba","['@gnuna_ @iyainajaaaa @shitlicious baik oke, benar-benar tepat sasaran jawabannya mbak', '@gnuna_ @iyainajaaaa @shitlicious oke baik, benar-benar tepat sasaran jawabannya mbak']",isi ini,,,,,
415,jangan kemana2 ya blistener karena abs ini masih banyak fakta2 unik tentang the avengers yg bakalan dibawain sama breaker made! Penasaran kan?? Stay tuneeed! #NightSound,"['jangan kemana-mana ya blistener karena habis ini masih banyak fakta-fakta unik tentang the avengers yang bakalan dibawakan sama breaker made! penasaran kan? tetap di sini! #NightSound', 'jangan kemana-mana ya blistener karena habis ini masih banyak fakta-fakta unik tentang the avengers yang bakalan dibawakan sama breaker made! penasaran kan? tetap di sini! #NightSound']",isi ini,,,,,
416,"@cinema21 Off course not...absolutely not....makna ga ada, pesan moral ga ada, ngehibur juga kaga...mending kapten marpel...kluar 60rb kaga rugii...#sorrynotsorry","['@cinema21 tentu saja tidak. benar-benar tidak. makna tidak ada, pesan moral tidak ada, menghibur juga tidak. mending kapten marpel. keluar 60 ribu tidak rugi. #sorrynotsorry', '@cinema21 tentu saja tidak. benar-benar tidak. makna tidak ada, pesan moral tidak ada, menghibur juga tidak. mending kapten marpel. keluar 60 ribu tidak rugi. #sorrynotsorry']",isi ini,,,,,
417,Ada yg twitter nya kaya saya gini? Twitter Not Responding :((((..FIGHTING FAMS! .1 RT = 1 VOTE (DON'T STOP PLS!) .@BTS_twt #TeamBTS #TwitterBestFandom #SoompiAwards https://t.co/kjMKozZeJu,"['ada yang twitter nya kaya saya begini? twitter tidak merespon :(((( berjuang keluarga! .1 rt = 1 suara (tolong jangan berhenti!). @BTS_twt #TeamBTS #TwitterBestFandom #SoompiAwards https://t.co/kjMKozZeJu', 'ada yang twitter nya kaya saya begini? twitter tidak merespon :(((( berjuang keluarga! .1 rt = 1 suara (tolong jangan berhenti!). @BTS_twt #TeamBTS #TwitterBestFandom #SoompiAwards https://t.co/kjMKozZeJu']",isi ini,,,,,
418,EH JELASIN DONG INI JSF LAGI RIBUT APA ASTAGA?? CAN SOMEONE PLS EXPLAIN THIS JSF THINGS I DONT GET IT BECAUSE I DONT UNDERSTAND JAPANESE AND THE AUTO TRANSLATE MIGHT BE WRONG,"['eh jelaskan dong ini JSF lagi ribut apa astaga? dapatkah sesorang tolong jelaskan hal-hal jsf ini saya tidak mengerti karena saya tidak mengerti bahasa jepang dan terjemahan otomatis dapat salah', 'eh jelaskan dong ini JSF lagi ribut apa astaga? dapatkah sesorang tolong jelaskan hal-hal jsf ini saya tidak mengerti karena saya tidak mengerti bahasa jepang dan terjemahan otomatis bisa saja salah']",isi ini,,,,,
419,@indomymenfess last but not least. sahabat dg namjoon. best friend material bgt. #TwitterBestFandom #SoompiAwards #TeamBTS,"['@indomymenfess terakhir tapi bukan yang akhir. sahabat dengan namjoon. sahabat material sangat. #TwitterBestFandom #SoompiAwards #TeamBTS', '@indomymenfess terakhir tapi bukan yang akhir. sahabat dengan namjoon. sahabat material sangat. #TwitterBestFandom #SoompiAwards #TeamBTS']",isi ini,,,,,
420,Hadir kembali bulan April 2019....Datang ya .... Jangan lupa lho.Management Perpajakan.Prepared or Not Prepaid - in conjunction to a tax audit.17 April 2019.Venue : IBIS Budget Menteng https://t.co/jHAlCrbgIG,"['hadir kembali bulan april 2019. datang ya. jangan lupa lho. pengelolaan perpajakan. disiapkan atau tidak dibayar - dalam hubungannya dengan audit pajak. 17 april 2019. lokasi : ibis budget menteng https://t.co/jHAlCrbgIG', 'hadir kembali bulan april 2019. datang ya. jangan lupa lho. pengelolaan perpajakan. disiapkan atau tidak dibayar - dalam hubungannya dengan audit pajak. 17 april 2019. lokasi : ibis budget menteng https://t.co/jHAlCrbgIG']",isi ini,,,,,
421,"Well, pengalaman ini masih belom disamakan dengan pengalaman kalo udah padet dan sesak. Gua yakin MRT ini akan jadi moda transportasi yang diminati ketika sudah diresmikan karena cepat dan tepat waktu.","['bik, pengalaman ini masih belum disamakan dengan pengalaman kalau sudah padat dan sesak. saya yakin mrt ini akan jadi model transportasi yang diminati ketika sudah diresmikan karena cepat dan tepat waktu.', 'bik, pengalaman ini masih belum disamakan dengan pengalaman kalau sudah padat dan sesak. saya yakin mrt ini akan jadi model transportasi yang diminati ketika sudah diresmikan karena cepat dan tepat waktu.']",isi ini,,,,,
422,@q2h_ @handyani1202 Eh.. Junho dan Taehyun tarohan di antara mereka doang...Not a big deal lah..,"['@q2h_ @handyani1202 eh. junho dan taehyun taruhan di antara mereka saja. bukan masalah besar lah.', '@q2h_ @handyani1202 eh. junho dan taehyun taruhan di antara mereka saja. bukan masalah besar lah.']",isi ini,,,,,
423,"@cakeniessuga marsyaa 03l , manggilnya pake kak or not ?","['@cakeniessuga marsyaa 03l , panggilnya pake kak atau tidak ?', '@cakeniessuga marsyaa 03l , panggilnya pake kak atau tidak ?']",isi ini,,,,,
424,"art is not illegal @ Pasar Tasik Kebon Jahe, Cideng https://t.co/6qkjRQz3oN","['seni tidak ilegal @ pasar tasik kebon jahe, cideng https://t.co/6qkjRQz3oN', 'seni tidak ilegal @ pasar tasik kebon jahe, cideng https://t.co/6qkjRQz3oN']",isi ini,,,,,
425,"@detikcom Katanya ""itu urusan pribadi"".... Well ini bukan cuma masalah duit... tapi ""pengisian jabatan di Kementrian Agama"" nya itu jadi pertanyaan besar.... ""Jadi ada acara isi2 jabatan gitu ya?""","['@detikcom katanya ""itu urusan pribadi"". baik ini bukan cuma masalah duit. tapi ""pengisian jabatan di kementrian agama"" nya itu jadi pertanyaan besar. ""jadi ada acara isi-isi jabatan gitu ya?""', '@detikcom katanya ""itu urusan pribadi"". baik ini bukan cuma masalah duit. tapi ""pengisian jabatan di kementrian agama"" nya itu jadi pertanyaan besar. ""jadi ada acara isi-isi jabatan gitu ya?""']",isi ini,,,,,
